Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2250;166;false;5420
2820;273;false;15512
2560;140;false;6671
2440;113;false;12114
1890;286;false;3737
2900;206;false;8201
2260;273;false;10218
2340;300;false;5479
1580;113;false;5045
2020;286;false;4149
2760;260;false;7186
1370;193;false;3794
1080;153;false;2330
1410;300;false;2008
1840;220;false;3538
1480;300;false;2295
2200;286;false;5375
2580;193;false;12869
2010;166;false;4230
2900;233;false;16476
2150;166;false;4788
2950;300;false;8400
2390;233;false;10747
1970;193;false;7814
2050;153;false;8460
2360;273;false;11287
2230;233;false;9777
2480;113;false;11850
2200;193;false;9571
2420;153;false;11102
2630;193;false;13141
1610;113;false;5219
2780;153;false;14807
1320;300;false;1739
2310;260;false;5095
1010;206;false;1024
1520;193;false;4812
2910;206;false;8390
2560;126;false;6430
1410;113;false;4010
2990;246;false;8822
2910;300;false;8112
1240;286;false;1610
2240;260;false;7132
1380;286;false;2019
2720;300;false;7248
2150;180;false;4720
1810;286;false;3419
1880;300;false;3791
1490;180;false;2251
2860;126;false;7678
2850;126;false;7915
2820;166;false;7665
1250;126;false;1642
2190;233;false;9873
1780;300;false;3304
1270;220;false;1703
2580;140;false;6645
1190;126;false;1462
2270;180;false;5084
2600;166;false;6592
2420;113;false;11595
1500;246;false;2772
1440;180;false;2094
2100;260;false;5369
1240;126;false;1566
2430;140;false;6171
1150;260;false;1411
1620;273;false;5381
2370;260;false;5765
2750;166;false;7470
2680;246;false;7094
2950;193;false;16414
2480;246;false;6125
2060;180;false;4280
1760;286;false;3299
2830;140;false;7770
2670;166;false;7010
1860;113;false;6946
2430;246;false;5895
1580;220;false;2589
2040;206;false;4369
2560;246;false;6473
2790;220;false;7557
1330;233;false;3563
2300;273;false;10834
2170;140;false;4724
2110;260;false;5016
1520;180;false;2341
2300;180;false;5461
2920;300;false;8140
1570;206;false;2560
2140;113;false;9081
1980;273;false;7984
2730;260;false;7199
1050;193;false;2221
1850;286;false;3599
1360;180;false;1924
1020;246;false;1092
1020;180;false;1063
2760;246;false;7608
2590;113;false;13238
1370;273;false;3862
1780;273;false;6445
2780;273;false;15169
1210;233;false;2971
1930;220;false;3806
2890;206;false;8316
2410;260;false;5885
2400;273;false;11212
1060;126;false;1136
2810;300;false;7869
2000;260;false;4194
2700;166;false;7116
1510;166;false;2282
2580;206;false;6627
1260;180;false;1682
2590;126;false;6410
2720;166;false;7288
2700;140;false;7294
1130;273;false;2557
1400;206;false;1999
2520;260;false;7219
2730;126;false;7088
