Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2250;166;false;10840
2820;273;false;31024
2560;140;false;13342
2440;113;false;24228
1890;286;false;7474
2900;206;false;16402
2260;273;false;20436
2340;300;false;10958
1580;113;false;10090
2020;286;false;8298
2760;260;false;14372
1370;193;false;7588
1080;153;false;4660
1410;300;false;4016
1840;220;false;7076
1480;300;false;4590
2200;286;false;10750
2580;193;false;25738
2010;166;false;8460
2900;233;false;32952
2150;166;false;9576
2950;300;false;16800
2390;233;false;21494
1970;193;false;15628
2050;153;false;16920
2360;273;false;22574
2230;233;false;19554
2480;113;false;23700
2200;193;false;19142
2420;153;false;22204
2630;193;false;26282
1610;113;false;10438
2780;153;false;29614
1320;300;false;3478
2310;260;false;10190
1010;206;false;2048
1520;193;false;9624
2910;206;false;16780
2560;126;false;12860
1410;113;false;8020
2990;246;false;17644
2910;300;false;16224
1240;286;false;3220
2240;260;false;14264
1380;286;false;4038
2720;300;false;14496
2150;180;false;9440
1810;286;false;6838
1880;300;false;7582
1490;180;false;4502
2860;126;false;15356
2850;126;false;15830
2820;166;false;15330
1250;126;false;3284
2190;233;false;19746
1780;300;false;6608
1270;220;false;3406
2580;140;false;13290
1190;126;false;2924
2270;180;false;10168
2600;166;false;13184
2420;113;false;23190
1500;246;false;5544
1440;180;false;4188
2100;260;false;10738
1240;126;false;3132
2430;140;false;12342
1150;260;false;2822
1620;273;false;10762
2370;260;false;11530
2750;166;false;14940
2680;246;false;14188
2950;193;false;32828
2480;246;false;12250
2060;180;false;8560
1760;286;false;6598
2830;140;false;15540
2670;166;false;14020
1860;113;false;13892
2430;246;false;11790
1580;220;false;5178
2040;206;false;8738
2560;246;false;12946
2790;220;false;15114
1330;233;false;7126
2300;273;false;21668
2170;140;false;9448
2110;260;false;10032
1520;180;false;4682
2300;180;false;10922
2920;300;false;16280
1570;206;false;5120
2140;113;false;18162
1980;273;false;15968
2730;260;false;14398
1050;193;false;4442
1850;286;false;7198
1360;180;false;3848
1020;246;false;2184
1020;180;false;2126
2760;246;false;15216
2590;113;false;26476
1370;273;false;7724
1780;273;false;12890
2780;273;false;30338
